id,raw_text,cleaned_text,created_at,sentiment_score,sentiment_label,party
26,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-17 14:04:15.380210,0.0,Neutral,Other
27,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-14 14:04:15.380210,-0.4767,Negative,Other
28,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-14 14:04:15.380210,0.4019,Positive,BJP
29,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-10 14:04:15.380210,0.0,Neutral,BJP
30,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-28 14:04:15.380210,0.4019,Positive,BJP
31,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-24 14:04:15.380210,0.0,Neutral,Other
32,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-30 14:04:15.380210,0.0,Neutral,Other
33,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-19 14:04:15.380210,-0.4767,Negative,Other
34,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-22 14:04:15.380210,0.3182,Positive,Other
35,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-29 14:04:15.380210,-0.4767,Negative,Other
36,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-17 14:04:15.380210,0.0,Neutral,BJP
37,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-04-01 14:04:15.380210,0.0,Neutral,BJP
38,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-14 14:04:15.380899,0.0,Neutral,Other
39,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-04 14:04:15.380899,0.3818,Positive,BJP
40,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-23 14:04:15.380899,0.0,Neutral,AAP
41,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-15 14:04:15.380923,0.6249,Positive,AAP
42,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-09 14:04:15.388853,0.0,Neutral,BJP
43,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-07 14:04:15.388853,0.6249,Positive,AAP
44,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-28 14:04:15.388853,0.0,Neutral,AAP
45,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-11 14:04:15.388853,0.3182,Positive,Other
46,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-16 14:04:15.388920,0.4019,Positive,BJP
47,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-31 14:04:15.388920,0.0,Neutral,Other
48,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-03 14:04:15.388920,0.3818,Positive,BJP
49,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-17 14:04:15.388920,0.0,Neutral,Other
50,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-19 14:04:15.388920,-0.4767,Negative,Other
51,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-21 14:04:15.388987,0.6249,Positive,AAP
52,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-09 14:04:15.388987,0.0,Neutral,AAP
53,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-10 14:04:15.388987,0.3182,Positive,Other
54,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-04-01 14:04:15.388987,0.0,Neutral,Other
55,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-17 14:04:15.388987,0.0,Neutral,AAP
56,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-30 14:04:15.388987,0.0,Neutral,BJP
57,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-18 14:04:15.388987,-0.4767,Negative,Other
58,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-30 14:04:15.388987,0.0,Neutral,Other
59,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-23 14:04:15.388987,0.6249,Positive,AAP
60,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-11 14:04:15.388987,0.6249,Positive,AAP
61,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-11 14:04:15.388987,0.0,Neutral,Other
62,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-28 14:04:15.388987,0.4019,Positive,BJP
63,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-25 14:04:15.388987,-0.4767,Negative,Other
64,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-30 14:04:15.388987,0.0,Neutral,AAP
65,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-12 14:04:15.388987,0.6249,Positive,AAP
66,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-23 14:04:15.388987,0.0,Neutral,BJP
67,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-08 14:04:15.388987,0.6249,Positive,AAP
68,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-14 14:04:15.388987,0.0,Neutral,Other
69,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-29 14:04:15.388987,0.3182,Positive,Other
70,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-17 14:04:15.388987,0.6249,Positive,AAP
71,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-11 14:04:15.388987,0.3818,Positive,BJP
72,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-12 14:04:15.388987,0.0,Neutral,AAP
73,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-28 14:04:15.388987,0.0,Neutral,Other
74,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-04-04 14:04:15.388987,0.0,Neutral,Other
75,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-05 14:04:15.388987,0.0,Neutral,Other
76,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-05 14:04:15.388987,0.3182,Positive,Other
77,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-28 14:04:15.388987,0.4019,Positive,BJP
78,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-24 14:04:15.388987,0.0,Neutral,BJP
79,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-27 14:04:15.388987,0.0,Neutral,Other
80,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-09 14:04:15.388987,0.0,Neutral,AAP
81,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-23 14:04:15.388987,0.6249,Positive,AAP
82,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-21 14:04:15.388987,0.6249,Positive,AAP
83,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-18 14:04:15.388987,0.4019,Positive,BJP
84,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-14 14:04:15.388987,0.0,Neutral,BJP
85,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-08 14:04:15.388987,0.6249,Positive,AAP
86,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-10 14:04:15.388987,0.0,Neutral,Other
87,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-25 14:04:15.388987,0.0,Neutral,Other
88,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-04-02 14:04:15.388987,0.0,Neutral,Other
89,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-19 14:04:15.388987,0.0,Neutral,Other
90,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-22 14:04:15.388987,0.0,Neutral,AAP
91,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-10 14:04:15.388987,0.3182,Positive,Other
92,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-10 14:04:15.388987,0.6249,Positive,AAP
93,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-31 14:04:15.388987,0.4019,Positive,BJP
94,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-13 14:04:15.388987,-0.4767,Negative,Other
95,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-22 14:04:15.388987,0.3818,Positive,BJP
96,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-23 14:04:15.388987,0.0,Neutral,Other
97,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-26 14:04:15.388987,0.3182,Positive,Other
98,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-20 14:04:15.388987,0.4019,Positive,BJP
99,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-31 14:04:15.388987,0.0,Neutral,BJP
100,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-31 14:04:15.388987,0.6249,Positive,AAP
101,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-10 14:04:33.810012,0.0,Neutral,BJP
102,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-03 14:04:33.810012,0.3818,Positive,BJP
103,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-05 14:04:33.810012,0.0,Neutral,Other
104,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-20 14:04:33.810012,0.6249,Positive,AAP
105,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-29 14:04:33.810012,0.4019,Positive,BJP
106,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-04-03 14:04:33.810012,0.6249,Positive,AAP
107,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-24 14:04:33.810012,0.6249,Positive,AAP
108,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-08 14:04:33.810012,0.3818,Positive,BJP
109,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-20 14:04:33.810012,-0.4767,Negative,Other
110,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-27 14:04:33.810012,0.0,Neutral,Other
111,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-25 14:04:33.810012,0.3182,Positive,Other
112,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-06 14:04:33.810012,-0.4767,Negative,Other
113,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-11 14:04:33.810012,0.3182,Positive,Other
114,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-24 14:04:33.810012,0.0,Neutral,BJP
115,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-28 14:04:33.810012,0.4019,Positive,BJP
116,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-29 14:04:33.810012,-0.4767,Negative,Other
117,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-04-01 14:04:33.810012,0.4019,Positive,BJP
118,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-30 14:04:33.810012,0.0,Neutral,BJP
119,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-27 14:04:33.810012,0.0,Neutral,Other
120,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-11 14:04:33.810012,0.6249,Positive,AAP
121,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-21 14:04:33.810012,0.0,Neutral,BJP
122,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-07 14:04:33.810012,0.6249,Positive,AAP
123,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-04-02 14:04:33.810012,0.0,Neutral,Other
124,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-09 14:04:33.810012,0.3818,Positive,BJP
125,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-07 14:04:33.810012,0.0,Neutral,Other
126,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-15 14:04:33.810012,0.6249,Positive,AAP
127,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-25 14:04:33.810012,0.0,Neutral,Other
128,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-24 14:04:33.810012,0.0,Neutral,Other
129,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-13 14:04:33.810012,0.0,Neutral,BJP
130,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-19 14:04:33.810012,0.0,Neutral,Other
131,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-09 14:04:33.810012,0.4019,Positive,BJP
132,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-04-01 14:04:33.810012,0.3182,Positive,Other
133,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-26 14:04:33.810012,-0.4767,Negative,Other
134,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-09 14:04:33.810012,0.0,Neutral,Other
135,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-19 14:04:33.810012,0.3182,Positive,Other
136,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-28 14:04:33.810012,-0.4767,Negative,Other
137,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-20 14:04:33.810012,0.0,Neutral,Other
138,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-09 14:04:33.810012,-0.4767,Negative,Other
139,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-16 14:04:33.810012,0.6249,Positive,AAP
140,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-26 14:04:33.810012,0.0,Neutral,Other
141,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-26 14:04:33.810012,0.0,Neutral,AAP
142,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-25 14:04:33.810012,0.6249,Positive,AAP
143,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-25 14:04:33.810012,0.0,Neutral,Other
144,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-16 14:04:33.810012,0.0,Neutral,Other
145,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-18 14:04:33.810012,0.0,Neutral,AAP
146,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-28 14:04:33.810012,0.4019,Positive,BJP
147,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-29 14:04:33.810012,0.6249,Positive,AAP
148,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-19 14:04:33.820106,-0.4767,Negative,Other
149,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-23 14:04:33.820106,0.6249,Positive,AAP
150,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-11 14:04:33.820123,0.3818,Positive,BJP
151,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-20 14:04:33.820123,0.3182,Positive,Other
152,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-23 14:04:33.820123,0.0,Neutral,AAP
153,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-14 14:04:33.820123,0.6249,Positive,AAP
154,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-04-02 14:04:33.820123,0.6249,Positive,AAP
155,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-07 14:04:33.820123,0.3182,Positive,Other
156,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-25 14:04:33.820123,0.6249,Positive,AAP
157,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-04-02 14:04:33.820123,0.0,Neutral,AAP
158,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-27 14:04:33.820123,0.0,Neutral,Other
159,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-22 14:04:33.820123,0.6249,Positive,AAP
160,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-23 14:04:33.820123,-0.4767,Negative,Other
161,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-21 14:04:33.820123,0.0,Neutral,AAP
162,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-18 14:04:33.820123,0.0,Neutral,AAP
163,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-27 14:04:33.820123,0.4019,Positive,BJP
164,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-12 14:04:33.820123,0.0,Neutral,Other
165,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-16 14:04:33.820123,0.0,Neutral,AAP
166,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-11 14:04:33.820123,0.3182,Positive,Other
167,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-19 14:04:33.820123,0.6249,Positive,AAP
168,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-06 14:04:33.820123,0.6249,Positive,AAP
169,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-04-03 14:04:33.820123,0.0,Neutral,Other
170,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-24 14:04:33.820123,0.0,Neutral,BJP
171,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-16 14:04:33.820123,0.3182,Positive,Other
172,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-04 14:04:33.820123,0.3818,Positive,BJP
173,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-16 14:04:33.820123,0.0,Neutral,AAP
174,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-12 14:04:33.820123,0.3818,Positive,BJP
175,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-23 14:04:33.820123,0.6249,Positive,AAP
176,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-20 14:04:33.820123,0.6249,Positive,AAP
177,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-19 14:04:33.820123,0.0,Neutral,AAP
178,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-21 14:04:33.820123,0.3182,Positive,Other
179,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-04-03 14:04:33.820123,0.0,Neutral,AAP
180,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-18 14:04:33.820123,0.4019,Positive,BJP
181,Education reforms by AAP government showing results,education reforms by aap government showing results,2025-03-17 14:04:33.820123,0.0,Neutral,AAP
182,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-18 14:04:33.820123,0.6249,Positive,AAP
183,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-31 14:04:33.820123,-0.4767,Negative,Other
184,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-22 14:04:33.820123,0.3182,Positive,Other
185,Great initiatives by AAP government in healthcare sector,great initiatives by aap government in healthcare sector,2025-03-21 14:04:33.820123,0.6249,Positive,AAP
186,Disappointed with the current state of Delhi's pollution control,disappointed with the current state of delhis pollution control,2025-03-14 14:04:33.820123,-0.4767,Negative,Other
187,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-23 14:04:33.820123,0.3818,Positive,BJP
188,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-16 14:04:33.820123,0.0,Neutral,BJP
189,BJP's infrastructure development in Delhi is commendable #DelhiElections,bjps infrastructure development in delhi is commendable,2025-03-28 14:04:33.820123,0.0,Neutral,BJP
190,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-13 14:04:33.820123,0.3818,Positive,BJP
191,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-04-01 14:04:33.820123,0.3818,Positive,BJP
192,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-11 14:04:33.820123,0.4019,Positive,BJP
193,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-11 14:04:33.820123,0.6249,Positive,AAP
194,BJP's development agenda for Delhi looks promising,bjps development agenda for delhi looks promising,2025-03-10 14:04:33.820123,0.4019,Positive,BJP
195,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-15 14:04:33.820123,0.3182,Positive,Other
196,BJP's central policies have helped Delhi's growth,bjps central policies have helped delhis growth,2025-03-09 14:04:33.820123,0.3818,Positive,BJP
197,New infrastructure projects changing Delhi's landscape,new infrastructure projects changing delhis landscape,2025-03-15 14:04:33.820123,0.0,Neutral,Other
198,Traffic situation in Delhi needs immediate attention,traffic situation in delhi needs immediate attention,2025-03-10 14:04:33.820123,0.0,Neutral,Other
199,AAP has done great work in Delhi education system #DelhiElections,aap has done great work in delhi education system,2025-03-22 14:04:33.820123,0.6249,Positive,AAP
200,Healthcare system improvements needed in Delhi,healthcare system improvements needed in delhi,2025-03-08 14:04:33.820123,0.3182,Positive,Other
201,AAP's free water scheme has helped Delhi's poor,aaps free water scheme has helped delhis poor,2025-03-23 14:08:29.399579,0.0516,Positive,AAP
202,BJP's development agenda looks promising for Delhi,bjps development agenda looks promising for delhi,2025-03-29 14:08:29.399579,0.4019,Positive,BJP
203,Delhi's education budget shows AAP's commitment to learning,delhis education budget shows aaps commitment to learning,2025-03-18 14:08:29.399579,0.3818,Positive,AAP
204,24x7 water supply still a dream in many Delhi areas,x water supply still a dream in many delhi areas,2025-03-16 14:08:29.408655,0.25,Positive,Other
205,BJP pledges new super-specialty hospitals in Delhi #Healthcare,bjp pledges new superspecialty hospitals in delhi,2025-03-11 14:08:29.408655,0.0,Neutral,BJP
206,Metro expansion under AAP government has improved connectivity,metro expansion under aap government has improved connectivity,2025-03-16 14:08:29.408655,0.4767,Positive,AAP
207,24x7 water supply still a dream in many Delhi areas,x water supply still a dream in many delhi areas,2025-04-04 14:08:29.408655,0.25,Positive,Other
208,Delhi's air quality remains a major concern under AAP,delhis air quality remains a major concern under aap,2025-03-31 14:08:29.408655,0.0,Neutral,AAP
209,Education reforms showing positive results in Delhi,education reforms showing positive results in delhi,2025-03-12 14:08:29.408655,0.5574,Positive,Other
210,BJP's infrastructure projects have reduced traffic in Delhi,bjps infrastructure projects have reduced traffic in delhi,2025-03-11 14:08:29.408655,0.0,Neutral,BJP
211,BJP's development agenda looks promising for Delhi,bjps development agenda looks promising for delhi,2025-03-22 14:08:29.408655,0.4019,Positive,BJP
